Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.0085"
"0.0200","0.0000","-0.0084"
"0.0400","0.0000","-0.0074"
"0.0600","0.0001","-0.0090"
"0.0800","0.0002","-0.0093"
"0.1000","0.0004","-0.0073"
"0.1200","0.0005","-0.0082"
"0.1400","0.0008","-0.0081"
"0.1600","0.0010","-0.0066"
"0.1800","0.0014","-0.0081"
"0.2000","0.0017","-0.0085"
"0.2200","0.0022","-0.0080"
"0.2400","0.0024","-0.0089"
"0.2600","0.0025","-0.0088"
"0.2800","0.0025","-0.0084"
"0.3000","0.0026","-0.0097"
"0.3200","0.0027","-0.0085"
"0.3400","0.0030","-0.0076"
"0.3600","0.0035","-0.0080"
"0.3800","0.0040","-0.0080"
"0.4000","0.0046","-0.0075"
"0.4200","0.0053","-0.0077"
"0.4400","0.0060","-0.0079"
"0.4600","0.0068","-0.0074"
"0.4800","0.0077","-0.0080"
"0.5000","0.0086","-0.0081"
"0.5200","0.0095","-0.0075"
"0.5400","0.0105","-0.0079"
"0.5600","0.0115","-0.0082"
"0.5800","0.0126","-0.0078"
"0.6000","0.0136","-0.0087"
"0.6200","0.0145","-0.0084"
"0.6400","0.0154","-0.0079"
"0.6600","0.0163","-0.0090"
"0.6800","0.0171","-0.0081"
"0.7000","0.0179","-0.0079"
"0.7200","0.0186","-0.0085"
"0.7400","0.0193","-0.0077"
"0.7600","0.0200","-0.0073"
"0.7800","0.0207","-0.0084"
"0.8000","0.0214","-0.0079"
"0.8200","0.0220","-0.0081"
"0.8400","0.0227","-0.0083"
"0.8600","0.0233","-0.0078"
"0.8800","0.0239","-0.0082"
"0.9000","0.0246","-0.0082"
"0.9200","0.0253","-0.0078"
"0.9400","0.0259","-0.0077"
"0.9600","0.0266","-0.0080"
"0.9800","0.0272","-0.0080"
"1.0000","0.0279","-0.0080"
"1.0200","0.0286","-0.0081"
"1.0400","0.0292","-0.0081"
"1.0600","0.0299","-0.0080"
"1.0800","0.0305","-0.0082"
"1.1000","0.0312","-0.0078"
"1.1200","0.0318","-0.0078"
"1.1400","0.0325","-0.0079"
"1.1600","0.0332","-0.0078"
"1.1800","0.0339","-0.0077"
"1.2000","0.0346","-0.0077"
"1.2200","0.0352","-0.0083"
"1.2400","0.0359","-0.0083"
"1.2600","0.0366","-0.0074"
"1.2800","0.0373","-0.0078"
"1.3000","0.0380","-0.0075"
"1.3200","0.0387","-0.0074"
"1.3400","0.0394","-0.0077"
"1.3600","0.0401","-0.0077"
"1.3800","0.0408","-0.0083"
"1.4000","0.0416","-0.0082"
"1.4200","0.0422","-0.0073"
"1.4400","0.0429","-0.0076"
"1.4600","0.0436","-0.0076"
"1.4800","0.0442","-0.0075"
"1.5000","0.0449","-0.0081"
"1.5200","0.0456","-0.0082"
"1.5400","0.0463","-0.0076"
"1.5600","0.0470","-0.0079"
"1.5800","0.0476","-0.0075"
"1.6000","0.0483","-0.0070"
"1.6200","0.0489","-0.0079"
"1.6400","0.0495","-0.0079"
"1.6600","0.0502","-0.0075"
"1.6800","0.0508","-0.0080"
"1.7000","0.0514","-0.0074"
"1.7200","0.0520","-0.0077"
"1.7400","0.0527","-0.0078"
"1.7600","0.0533","-0.0072"
"1.7800","0.0539","-0.0077"
"1.8000","0.0546","-0.0080"
"1.8200","0.0552","-0.0074"
"1.8400","0.0559","-0.0075"
"1.8600","0.0565","-0.0076"
"1.8800","0.0572","-0.0075"
"1.9000","0.0578","-0.0079"
"1.9200","0.0585","-0.0075"
"1.9400","0.0591","-0.0073"
"1.9600","0.0598","-0.0078"
"1.9800","0.0604","-0.0072"
"2.0000","0.0611","-0.0075"
"2.0200","0.0618","-0.0076"
"2.0400","0.0624","-0.0070"
"2.0600","0.0631","-0.0074"
"2.0800","0.0638","-0.0074"
"2.1000","0.0645","-0.0072"
"2.1200","0.0651","-0.0076"
"2.1400","0.0658","-0.0072"
"2.1600","0.0665","-0.0073"
"2.1800","0.0672","-0.0073"
"2.2000","0.0679","-0.0074"
"2.2200","0.0686","-0.0078"
"2.2400","0.0693","-0.0077"
"2.2600","0.0700","-0.0073"
"2.2800","0.0707","-0.0072"
"2.3000","0.0714","-0.0074"
"2.3200","0.0721","-0.0067"
"2.3400","0.0728","-0.0073"
"2.3600","0.0735","-0.0081"
"2.3800","0.0742","-0.0073"
"2.4000","0.0749","-0.0075"
"2.4200","0.0755","-0.0075"
"2.4400","0.0762","-0.0072"
"2.4600","0.0768","-0.0074"
"2.4800","0.0775","-0.0070"
"2.5000","0.0781","-0.0067"
"2.5200","0.0788","-0.0072"
"2.5400","0.0794","-0.0074"
"2.5600","0.0801","-0.0073"
"2.5800","0.0808","-0.0074"
"2.6000","0.0814","-0.0069"
"2.6200","0.0821","-0.0073"
"2.6400","0.0827","-0.0073"
"2.6600","0.0833","-0.0071"
"2.6800","0.0839","-0.0075"
"2.7000","0.0845","-0.0072"
