Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.0070"
"0.0200","0.0000","-0.0081"
"0.0400","0.0000","-0.0084"
"0.0600","0.0005","-0.0106"
"0.0800","0.0013","-0.0140"
"0.1000","0.0016","-0.0121"
"0.1200","0.0016","-0.0086"
"0.1400","0.0016","-0.0069"
"0.1600","0.0017","-0.0058"
"0.1800","0.0017","-0.0057"
"0.2000","0.0019","-0.0067"
"0.2200","0.0021","-0.0075"
"0.2400","0.0023","-0.0084"
"0.2600","0.0027","-0.0090"
"0.2800","0.0030","-0.0086"
"0.3000","0.0034","-0.0083"
"0.3200","0.0038","-0.0076"
"0.3400","0.0042","-0.0070"
"0.3600","0.0048","-0.0074"
"0.3800","0.0053","-0.0072"
"0.4000","0.0059","-0.0079"
"0.4200","0.0065","-0.0083"
"0.4400","0.0072","-0.0076"
"0.4600","0.0078","-0.0079"
"0.4800","0.0085","-0.0079"
"0.5000","0.0092","-0.0072"
"0.5200","0.0099","-0.0080"
"0.5400","0.0106","-0.0076"
"0.5600","0.0114","-0.0075"
"0.5800","0.0121","-0.0082"
"0.6000","0.0128","-0.0082"
"0.6200","0.0135","-0.0078"
"0.6400","0.0141","-0.0083"
"0.6600","0.0147","-0.0076"
"0.6800","0.0153","-0.0079"
"0.7000","0.0158","-0.0084"
"0.7200","0.0164","-0.0072"
"0.7400","0.0169","-0.0081"
"0.7600","0.0174","-0.0079"
"0.7800","0.0180","-0.0070"
"0.8000","0.0185","-0.0085"
"0.8200","0.0190","-0.0080"
"0.8400","0.0195","-0.0072"
"0.8600","0.0200","-0.0079"
"0.8800","0.0205","-0.0076"
"0.9000","0.0210","-0.0075"
"0.9200","0.0215","-0.0078"
"0.9400","0.0220","-0.0080"
"0.9600","0.0225","-0.0078"
"0.9800","0.0230","-0.0075"
"1.0000","0.0235","-0.0078"
"1.0200","0.0240","-0.0078"
"1.0400","0.0245","-0.0081"
"1.0600","0.0250","-0.0079"
"1.0800","0.0255","-0.0078"
"1.1000","0.0260","-0.0080"
"1.1200","0.0265","-0.0073"
"1.1400","0.0270","-0.0075"
"1.1600","0.0274","-0.0078"
"1.1800","0.0279","-0.0071"
"1.2000","0.0284","-0.0076"
"1.2200","0.0289","-0.0081"
"1.2400","0.0294","-0.0074"
"1.2600","0.0299","-0.0077"
"1.2800","0.0304","-0.0078"
"1.3000","0.0309","-0.0076"
"1.3200","0.0314","-0.0075"
"1.3400","0.0319","-0.0072"
"1.3600","0.0324","-0.0078"
"1.3800","0.0329","-0.0075"
"1.4000","0.0334","-0.0069"
"1.4200","0.0339","-0.0081"
"1.4400","0.0344","-0.0075"
"1.4600","0.0349","-0.0075"
"1.4800","0.0355","-0.0077"
"1.5000","0.0360","-0.0072"
"1.5200","0.0365","-0.0077"
"1.5400","0.0370","-0.0073"
"1.5600","0.0375","-0.0077"
"1.5800","0.0380","-0.0082"
"1.6000","0.0385","-0.0071"
"1.6200","0.0391","-0.0075"
"1.6400","0.0396","-0.0079"
"1.6600","0.0401","-0.0071"
"1.6800","0.0406","-0.0070"
"1.7000","0.0412","-0.0076"
"1.7200","0.0417","-0.0074"
"1.7400","0.0422","-0.0073"
"1.7600","0.0427","-0.0073"
"1.7800","0.0432","-0.0074"
"1.8000","0.0437","-0.0073"
"1.8200","0.0442","-0.0074"
"1.8400","0.0447","-0.0077"
"1.8600","0.0452","-0.0076"
"1.8800","0.0457","-0.0071"
"1.9000","0.0462","-0.0076"
"1.9200","0.0467","-0.0075"
