Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.0100"
"0.0200","0.0000","-0.0110"
"0.0400","0.0000","-0.0107"
"0.0600","0.0000","-0.0101"
"0.0800","0.0000","-0.0113"
"0.1000","0.0004","-0.0093"
"0.1200","0.0011","-0.0136"
"0.1400","0.0015","-0.0153"
"0.1600","0.0016","-0.0136"
"0.1800","0.0015","-0.0123"
"0.2000","0.0015","-0.0110"
"0.2200","0.0015","-0.0089"
"0.2400","0.0015","-0.0091"
"0.2600","0.0015","-0.0098"
"0.2800","0.0015","-0.0102"
"0.3000","0.0015","-0.0111"
"0.3200","0.0015","-0.0119"
"0.3400","0.0015","-0.0115"
"0.3600","0.0016","-0.0110"
"0.3800","0.0016","-0.0107"
"0.4000","0.0016","-0.0108"
"0.4200","0.0017","-0.0105"
"0.4400","0.0017","-0.0103"
"0.4600","0.0018","-0.0104"
"0.4800","0.0018","-0.0110"
"0.5000","0.0020","-0.0107"
"0.5200","0.0021","-0.0103"
"0.5400","0.0022","-0.0111"
"0.5600","0.0024","-0.0111"
"0.5800","0.0025","-0.0103"
"0.6000","0.0027","-0.0108"
"0.6200","0.0029","-0.0108"
"0.6400","0.0030","-0.0105"
"0.6600","0.0032","-0.0104"
"0.6800","0.0034","-0.0106"
"0.7000","0.0036","-0.0113"
"0.7200","0.0038","-0.0108"
"0.7400","0.0040","-0.0109"
"0.7600","0.0042","-0.0116"
"0.7800","0.0044","-0.0106"
"0.8000","0.0046","-0.0101"
"0.8200","0.0048","-0.0106"
"0.8400","0.0050","-0.0109"
"0.8600","0.0053","-0.0105"
"0.8800","0.0055","-0.0108"
"0.9000","0.0057","-0.0108"
"0.9200","0.0059","-0.0112"
"0.9400","0.0061","-0.0107"
"0.9600","0.0063","-0.0102"
"0.9800","0.0066","-0.0111"
"1.0000","0.0068","-0.0106"
"1.0200","0.0070","-0.0104"
"1.0400","0.0072","-0.0112"
"1.0600","0.0074","-0.0105"
"1.0800","0.0076","-0.0108"
"1.1000","0.0078","-0.0107"
"1.1200","0.0080","-0.0105"
"1.1400","0.0082","-0.0104"
"1.1600","0.0084","-0.0106"
"1.1800","0.0086","-0.0107"
"1.2000","0.0088","-0.0108"
"1.2200","0.0090","-0.0109"
"1.2400","0.0092","-0.0109"
"1.2600","0.0093","-0.0106"
"1.2800","0.0095","-0.0108"
"1.3000","0.0097","-0.0104"
"1.3200","0.0099","-0.0111"
"1.3400","0.0100","-0.0112"
"1.3600","0.0102","-0.0100"
"1.3800","0.0104","-0.0109"
"1.4000","0.0106","-0.0107"
"1.4200","0.0108","-0.0101"
"1.4400","0.0109","-0.0105"
"1.4600","0.0111","-0.0109"
"1.4800","0.0113","-0.0103"
"1.5000","0.0115","-0.0104"
"1.5200","0.0117","-0.0112"
"1.5400","0.0119","-0.0111"
"1.5600","0.0121","-0.0109"
"1.5800","0.0122","-0.0108"
"1.6000","0.0124","-0.0107"
"1.6200","0.0126","-0.0104"
"1.6400","0.0127","-0.0105"
"1.6600","0.0129","-0.0103"
"1.6800","0.0131","-0.0108"
"1.7000","0.0132","-0.0106"
"1.7200","0.0134","-0.0104"
"1.7400","0.0136","-0.0112"
"1.7600","0.0137","-0.0109"
"1.7800","0.0139","-0.0103"
"1.8000","0.0141","-0.0111"
"1.8200","0.0142","-0.0103"
"1.8400","0.0144","-0.0095"
"1.8600","0.0146","-0.0111"
"1.8800","0.0147","-0.0103"
"1.9000","0.0149","-0.0104"
"1.9200","0.0151","-0.0111"
"1.9400","0.0153","-0.0105"
"1.9600","0.0154","-0.0109"
"1.9800","0.0156","-0.0105"
"2.0000","0.0158","-0.0102"
"2.0200","0.0159","-0.0113"
"2.0400","0.0161","-0.0102"
"2.0600","0.0163","-0.0102"
"2.0800","0.0164","-0.0111"
"2.1000","0.0166","-0.0100"
"2.1200","0.0168","-0.0105"
"2.1400","0.0169","-0.0109"
"2.1600","0.0171","-0.0102"
"2.1800","0.0173","-0.0104"
"2.2000","0.0174","-0.0109"
"2.2200","0.0176","-0.0107"
"2.2400","0.0178","-0.0108"
"2.2600","0.0179","-0.0103"
"2.2800","0.0181","-0.0101"
"2.3000","0.0183","-0.0106"
"2.3200","0.0184","-0.0103"
"2.3400","0.0186","-0.0105"
"2.3600","0.0188","-0.0112"
"2.3800","0.0190","-0.0103"
"2.4000","0.0191","-0.0105"
"2.4200","0.0193","-0.0110"
"2.4400","0.0195","-0.0101"
"2.4600","0.0196","-0.0107"
"2.4800","0.0198","-0.0108"
"2.5000","0.0200","-0.0104"
"2.5200","0.0201","-0.0108"
"2.5400","0.0203","-0.0107"
"2.5600","0.0204","-0.0106"
"2.5800","0.0206","-0.0104"
"2.6000","0.0208","-0.0097"
"2.6200","0.0210","-0.0106"
"2.6400","0.0211","-0.0103"
"2.6600","0.0213","-0.0102"
"2.6800","0.0215","-0.0104"
"2.7000","0.0216","-0.0103"
"2.7200","0.0218","-0.0104"
"2.7400","0.0220","-0.0110"
"2.7600","0.0221","-0.0110"
"2.7800","0.0223","-0.0106"
"2.8000","0.0225","-0.0105"
"2.8200","0.0226","-0.0103"
"2.8400","0.0228","-0.0103"
"2.8600","0.0230","-0.0100"
"2.8800","0.0231","-0.0102"
"2.9000","0.0233","-0.0109"
"2.9200","0.0234","-0.0109"
"2.9400","0.0236","-0.0105"
"2.9600","0.0238","-0.0111"
"2.9800","0.0239","-0.0111"
"3.0000","0.0241","-0.0095"
"3.0200","0.0243","-0.0105"
"3.0400","0.0244","-0.0103"
"3.0600","0.0246","-0.0100"
"3.0800","0.0248","-0.0110"
"3.1000","0.0249","-0.0107"
"3.1200","0.0251","-0.0107"
"3.1400","0.0253","-0.0106"
"3.1600","0.0254","-0.0103"
"3.1800","0.0256","-0.0104"
"3.2000","0.0258","-0.0104"
"3.2200","0.0259","-0.0106"
"3.2400","0.0261","-0.0109"
"3.2600","0.0263","-0.0103"
"3.2800","0.0264","-0.0106"
"3.3000","0.0266","-0.0105"
"3.3200","0.0268","-0.0108"
"3.3400","0.0269","-0.0100"
"3.3600","0.0271","-0.0105"
"3.3800","0.0273","-0.0111"
"3.4000","0.0274","-0.0101"
"3.4200","0.0276","-0.0103"
"3.4400","0.0278","-0.0107"
"3.4600","0.0279","-0.0099"
"3.4800","0.0281","-0.0099"
"3.5000","0.0283","-0.0111"
"3.5200","0.0284","-0.0102"
"3.5400","0.0286","-0.0102"
"3.5600","0.0288","-0.0105"
"3.5800","0.0289","-0.0099"
"3.6000","0.0291","-0.0103"
"3.6200","0.0293","-0.0101"
"3.6400","0.0294","-0.0103"
"3.6600","0.0296","-0.0107"
"3.6800","0.0298","-0.0094"
"3.7000","0.0299","-0.0099"
"3.7200","0.0301","-0.0106"
