Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.0068"
"0.0200","0.0000","-0.0064"
"0.0400","0.0000","-0.0067"
"0.0600","0.0000","-0.0047"
"0.0800","0.0008","-0.0066"
"0.1000","0.0014","-0.0043"
"0.1200","0.0016","-0.0042"
"0.1400","0.0016","-0.0046"
"0.1600","0.0016","-0.0059"
"0.1800","0.0016","-0.0080"
"0.2000","0.0016","-0.0088"
"0.2200","0.0016","-0.0083"
"0.2400","0.0017","-0.0076"
"0.2600","0.0018","-0.0069"
"0.2800","0.0019","-0.0061"
"0.3000","0.0021","-0.0054"
"0.3200","0.0023","-0.0063"
"0.3400","0.0025","-0.0066"
"0.3600","0.0028","-0.0067"
"0.3800","0.0030","-0.0072"
"0.4000","0.0033","-0.0072"
"0.4200","0.0036","-0.0069"
"0.4400","0.0040","-0.0067"
"0.4600","0.0043","-0.0063"
"0.4800","0.0047","-0.0068"
"0.5000","0.0051","-0.0071"
"0.5200","0.0055","-0.0062"
"0.5400","0.0059","-0.0072"
"0.5600","0.0063","-0.0067"
"0.5800","0.0068","-0.0063"
"0.6000","0.0073","-0.0073"
"0.6200","0.0077","-0.0066"
"0.6400","0.0082","-0.0062"
"0.6600","0.0087","-0.0066"
"0.6800","0.0091","-0.0058"
"0.7000","0.0096","-0.0066"
"0.7200","0.0100","-0.0071"
"0.7400","0.0104","-0.0064"
"0.7600","0.0108","-0.0075"
"0.7800","0.0112","-0.0067"
"0.8000","0.0116","-0.0065"
"0.8200","0.0121","-0.0073"
"0.8400","0.0125","-0.0065"
"0.8600","0.0128","-0.0063"
"0.8800","0.0132","-0.0070"
"0.9000","0.0136","-0.0061"
"0.9200","0.0139","-0.0069"
"0.9400","0.0143","-0.0071"
"0.9600","0.0146","-0.0061"
"0.9800","0.0150","-0.0072"
"1.0000","0.0153","-0.0066"
"1.0200","0.0157","-0.0065"
"1.0400","0.0160","-0.0073"
"1.0600","0.0163","-0.0066"
"1.0800","0.0167","-0.0066"
"1.1000","0.0170","-0.0068"
"1.1200","0.0174","-0.0060"
"1.1400","0.0177","-0.0067"
"1.1600","0.0180","-0.0070"
"1.1800","0.0184","-0.0063"
"1.2000","0.0187","-0.0067"
"1.2200","0.0191","-0.0064"
"1.2400","0.0194","-0.0062"
"1.2600","0.0198","-0.0069"
"1.2800","0.0201","-0.0068"
"1.3000","0.0204","-0.0065"
"1.3200","0.0208","-0.0069"
"1.3400","0.0211","-0.0064"
"1.3600","0.0214","-0.0065"
"1.3800","0.0217","-0.0068"
"1.4000","0.0221","-0.0068"
"1.4200","0.0224","-0.0067"
"1.4400","0.0227","-0.0060"
"1.4600","0.0231","-0.0066"
"1.4800","0.0234","-0.0065"
"1.5000","0.0238","-0.0063"
"1.5200","0.0241","-0.0069"
"1.5400","0.0244","-0.0064"
"1.5600","0.0247","-0.0065"
"1.5800","0.0251","-0.0063"
"1.6000","0.0254","-0.0063"
"1.6200","0.0257","-0.0066"
"1.6400","0.0261","-0.0065"
"1.6600","0.0264","-0.0062"
"1.6800","0.0267","-0.0067"
"1.7000","0.0271","-0.0065"
"1.7200","0.0274","-0.0062"
"1.7400","0.0277","-0.0065"
"1.7600","0.0281","-0.0064"
"1.7800","0.0284","-0.0062"
"1.8000","0.0287","-0.0064"
"1.8200","0.0291","-0.0065"
"1.8400","0.0294","-0.0066"
"1.8600","0.0297","-0.0066"
"1.8800","0.0300","-0.0061"
"1.9000","0.0304","-0.0066"
"1.9200","0.0307","-0.0065"
"1.9400","0.0310","-0.0065"
"1.9600","0.0314","-0.0067"
"1.9800","0.0317","-0.0068"
"2.0000","0.0320","-0.0060"
"2.0200","0.0324","-0.0064"
"2.0400","0.0327","-0.0067"
"2.0600","0.0330","-0.0059"
"2.0800","0.0334","-0.0066"
"2.1000","0.0337","-0.0066"
"2.1200","0.0341","-0.0062"
"2.1400","0.0344","-0.0066"
"2.1600","0.0348","-0.0064"
"2.1800","0.0351","-0.0064"
"2.2000","0.0354","-0.0066"
"2.2200","0.0358","-0.0060"
"2.2400","0.0361","-0.0066"
"2.2600","0.0364","-0.0065"
"2.2800","0.0367","-0.0058"
"2.3000","0.0371","-0.0067"
"2.3200","0.0374","-0.0063"
"2.3400","0.0378","-0.0058"
"2.3600","0.0381","-0.0066"
"2.3800","0.0385","-0.0062"
"2.4000","0.0388","-0.0061"
"2.4200","0.0391","-0.0064"
"2.4400","0.0395","-0.0062"
"2.4600","0.0398","-0.0063"
"2.4800","0.0402","-0.0065"
"2.5000","0.0406","-0.0062"
"2.5200","0.0409","-0.0062"
"2.5400","0.0413","-0.0061"
"2.5600","0.0416","-0.0061"
"2.5800","0.0420","-0.0056"
"2.6000","0.0423","-0.0062"
"2.6200","0.0426","-0.0066"
"2.6400","0.0430","-0.0059"
"2.6600","0.0433","-0.0064"
"2.6800","0.0436","-0.0068"
"2.7000","0.0439","-0.0057"
"2.7200","0.0443","-0.0065"
